employee_id,experience_years,salary
EM_101,16.8,3166.9
EM_102,10.7,3126.9
EM_103,14.1,3278.8
EM_104,9.1,2828.8
EM_105,8.9,2728.7
EM_106,7.9,2762.6
EM_107,4.4,2142.6
EM_108,16.2,3214.5
EM_109,2,1518.9
EM_110,0,1049.7
EM_111,3.6,1867.9
EM_112,6.1,2390.7
EM_113,14.7,3405.8
EM_114,6.7,2449.8
EM_115,18.2,3158.5
EM_116,2.8,1212.5
EM_117,15.4,3257.5
EM_118,15.6,3217
EM_119,2.4,1692.7
EM_120,6.3,2671.8
EM_121,11.1,3191.9
EM_122,17.8,3119.9
EM_123,5.3,2184.8
EM_124,8.5,2814
EM_125,12.9,3174.2
EM_126,3,1761
EM_127,8.1,2845.1
EM_128,19.4,3086.5
EM_129,1.8,1566.7
EM_130,14.5,3244.4
EM_131,2.2,1570.7
EM_132,9.5,3052.7
EM_133,17.2,3152.7
EM_134,5.7,3316.9
EM_135,18.8,3073.8
EM_136,1,1269.4
EM_137,13.3,3215
EM_138,13.1,3350.7
EM_139,7.1,2499.2
EM_140,3.2,1763.9
EM_141,9.9,2813.5
EM_142,6.9,2671.1
EM_111,3.6,1867.9
EM_144,19.2,2927.9
EM_145,5.5,2376.4
EM_146,3.8,1863
EM_147,16.4,3267.1
EM_148,5.1,2271.2
EM_149,12.5,3078.1
EM_150,2.6,1527.6
EM_151,4.8,2165
EM_152,0.6,1330.4
EM_153,3.4,1943.8
EM_154,7.7,2580.9
EM_155,1.6,1411.8
EM_156,15.8,3253.4
EM_157,1.2,1506.9
EM_158,12.9,3288.4
EM_159,7.3,2673.8
EM_160,18,3212.5
EM_161,11.3,3030.1
EM_162,20,2976.5
EM_163,10.9,3185.7
EM_164,8.7,2821.3
EM_165,10.1,3042.4
EM_166,13.5,3328.9
EM_167,9.3,2878.2
EM_168,13.7,3270.2
EM_169,12.3,3159.8
EM_170,19.6,3064.9
EM_171,16,3042
EM_172,8.3,2815.9
EM_173,11.7,3175.4
EM_174,9.7,3003.1
EM_175,19.8,3020.3
EM_176,11.5,3097.6
EM_177,15.2,3332
EM_178,6.5,2520.1
EM_179,19,3051.6
EM_180,11.9,3252.6
EM_181,12.7,3078.7
EM_182,17,3130.4
EM_183,7.5,2487.7
EM_184,5.9,2385.2
EM_185,0.2,1046.4
EM_186,10.5,2980.3
EM_187,4.2,2070.2
EM_188,0.4,1184.3
EM_189,4.6,2035.6
EM_190,17.6,3216.5
EM_191,18.4,3232.4
EM_192,14.9,2988
EM_193,17.4,3285.2
EM_194,16.6,3373.3
EM_195,4,2195.4
EM_196,12.1,3119.2
EM_197,14.3,3399.5
EM_198,2.8,1596
EM_199,18.6,3051.2
EM_200,10.3,2990.9
